Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|DE-LU,12.07.2021 23:00 - 13.07.2021 00:00 (CET/CEST),3952.75,11440.75,0.0,5453.25,6936.5,421.0,0.0,0.0,17.0,231.5,539.25,2026.25,213.0,0.0,7818.25,227.0,122.0,0.0,632.75,1799.5,3531.25
BZN|DE-LU,13.07.2021 00:00 - 13.07.2021 01:00 (CET/CEST),3836.0,11308.25,0.0,4972.75,6377.75,421.0,0.0,0.0,17.0,256.5,440.25,2031.75,212.5,0.0,7824.5,229.0,122.0,0.0,642.25,1231.0,3299.75
BZN|DE-LU,13.07.2021 01:00 - 13.07.2021 02:00 (CET/CEST),3814.75,11304.5,0.0,4549.75,5967.75,419.5,0.0,0.0,17.0,115.75,798.25,2032.0,223.0,0.0,7829.5,229.0,122.0,0.0,633.5,875.25,3005.0
BZN|DE-LU,13.07.2021 02:00 - 13.07.2021 03:00 (CET/CEST),3858.0,11049.0,0.0,4630.25,5643.75,419.0,0.0,0.0,17.0,322.5,1412.75,2038.25,250.0,0.0,7837.25,229.0,122.0,0.0,628.5,655.5,2462.25
BZN|DE-LU,13.07.2021 03:00 - 13.07.2021 04:00 (CET/CEST),3860.25,11205.5,0.0,4610.75,5616.0,419.5,0.0,0.0,17.0,291.5,1573.5,2049.0,227.0,0.0,7846.5,229.0,122.0,0.0,625.25,537.25,1927.25
BZN|DE-LU,13.07.2021 04:00 - 13.07.2021 05:00 (CET/CEST),3843.25,11520.5,0.0,4559.0,5814.25,421.0,0.0,0.0,17.0,421.5,1223.75,2043.75,136.0,0.0,7852.5,229.0,122.0,1.0,627.5,523.75,1480.0
BZN|DE-LU,13.07.2021 05:00 - 13.07.2021 06:00 (CET/CEST),3909.75,11520.75,0.0,4862.5,6594.75,421.0,0.0,0.0,17.0,178.0,566.75,2047.0,215.25,0.0,7853.75,229.0,122.0,213.0,634.25,500.0,1789.25
BZN|DE-LU,13.07.2021 06:00 - 13.07.2021 07:00 (CET/CEST),3995.0,11657.0,0.0,6615.25,7567.75,421.0,0.0,0.0,17.0,261.5,277.0,2052.0,300.0,0.0,7856.25,229.0,122.0,1627.75,612.25,495.75,1893.75
BZN|DE-LU,13.07.2021 07:00 - 13.07.2021 08:00 (CET/CEST),4095.25,11724.75,0.0,7329.25,7924.0,421.0,0.0,0.0,17.0,1227.25,16.5,2056.5,259.75,0.0,7859.75,229.0,122.0,4790.0,618.0,546.5,1762.0
BZN|DE-LU,13.07.2021 08:00 - 13.07.2021 09:00 (CET/CEST),4085.25,11726.0,0.0,7404.0,8207.25,421.0,0.0,0.0,17.0,2674.0,6.0,2038.75,284.0,0.0,7861.25,229.0,122.0,8593.0,620.25,506.25,1415.75
BZN|DE-LU,13.07.2021 09:00 - 13.07.2021 10:00 (CET/CEST),3972.0,11729.25,0.0,7423.5,8225.75,421.0,0.0,0.0,16.25,2600.5,3.75,2024.0,284.0,0.0,7860.25,229.0,122.0,12520.75,607.0,464.25,1620.25
BZN|DE-LU,13.07.2021 10:00 - 13.07.2021 11:00 (CET/CEST),3787.5,11723.0,0.0,7363.75,8217.25,440.0,0.0,0.0,16.0,1631.25,4.75,2014.5,260.25,0.0,7848.0,229.0,122.0,15494.75,621.75,314.75,2261.0
BZN|DE-LU,13.07.2021 11:00 - 13.07.2021 12:00 (CET/CEST),3724.0,11713.75,0.0,7329.75,8313.75,447.25,0.0,0.0,16.0,1053.5,114.0,2024.25,256.75,0.0,7835.0,229.0,122.0,17440.75,637.75,254.25,2753.75
BZN|DE-LU,13.07.2021 12:00 - 13.07.2021 13:00 (CET/CEST),3629.25,11688.5,0.0,7291.25,8242.0,442.25,0.0,0.0,16.5,860.0,24.0,2027.25,258.5,0.0,7847.75,229.0,122.0,18102.25,634.5,253.75,2964.0
BZN|DE-LU,13.07.2021 13:00 - 13.07.2021 14:00 (CET/CEST),3595.25,11711.5,0.0,7260.75,8271.75,445.75,0.0,0.0,17.0,673.25,99.75,2032.0,232.0,0.0,7867.0,229.0,122.0,16793.75,633.75,362.75,3538.0
BZN|DE-LU,13.07.2021 14:00 - 13.07.2021 15:00 (CET/CEST),3576.5,11638.0,0.0,7200.75,8137.0,426.25,0.0,0.0,15.0,463.5,702.25,2030.0,177.75,0.0,7869.25,229.0,122.0,14883.0,617.25,403.75,4444.5
BZN|DE-LU,13.07.2021 15:00 - 13.07.2021 16:00 (CET/CEST),3593.75,11590.75,0.0,7134.5,8183.0,423.75,0.0,0.0,15.25,299.5,728.5,2039.5,195.5,0.0,7866.5,229.0,122.0,13334.5,563.5,529.75,5309.5
BZN|DE-LU,13.07.2021 16:00 - 13.07.2021 17:00 (CET/CEST),3630.5,11394.0,0.0,7065.0,8021.5,421.0,0.0,0.0,18.0,566.25,581.0,2036.5,208.5,0.0,7883.5,229.0,122.0,10830.5,595.5,574.75,5554.25
BZN|DE-LU,13.07.2021 17:00 - 13.07.2021 18:00 (CET/CEST),3711.0,11329.0,0.0,7414.0,8133.75,421.0,0.0,0.0,18.0,1270.0,74.25,2029.75,292.75,0.0,7881.5,229.0,122.0,8455.75,607.0,700.25,5501.0
BZN|DE-LU,13.07.2021 18:00 - 13.07.2021 19:00 (CET/CEST),3814.75,11263.25,0.0,7541.5,7989.5,421.0,0.0,0.0,18.0,1437.0,74.0,2025.25,215.25,0.0,7874.25,229.0,122.0,5474.5,599.5,726.5,5335.0
BZN|DE-LU,13.07.2021 19:00 - 13.07.2021 20:00 (CET/CEST),3865.25,11303.75,0.0,7494.25,8493.75,421.0,0.0,0.0,18.0,1444.0,117.25,2010.5,288.5,0.0,7878.25,229.0,122.0,2903.25,611.75,773.25,5350.0
BZN|DE-LU,13.07.2021 20:00 - 13.07.2021 21:00 (CET/CEST),3877.25,11473.75,0.0,7201.5,8184.0,422.75,0.0,0.0,18.0,1080.0,70.25,2002.0,250.25,0.0,7881.0,235.0,122.0,892.75,614.25,713.75,6042.25
BZN|DE-LU,13.07.2021 21:00 - 13.07.2021 22:00 (CET/CEST),3852.0,11469.5,0.0,7186.75,8105.5,424.0,0.0,0.0,18.0,770.5,161.0,2010.25,212.0,0.0,7882.5,235.0,122.0,52.75,617.25,594.0,7141.0
BZN|DE-LU,13.07.2021 22:00 - 13.07.2021 23:00 (CET/CEST),3767.5,11449.75,0.0,7024.75,7254.75,426.0,0.0,0.0,18.0,671.0,176.5,2009.25,174.25,0.0,7876.75,235.0,122.0,0.0,622.75,566.75,7584.5
BZN|DE-LU,13.07.2021 23:00 - 14.07.2021 00:00 (CET/CEST),3708.75,11459.5,0.0,5654.0,6106.25,429.0,0.0,0.0,18.0,454.5,578.25,2013.75,181.25,0.0,7875.75,233.5,122.0,0.0,632.25,575.75,7319.25
BZN|DE-LU,14.07.2021 00:00 - 14.07.2021 01:00 (CET/CEST),3616.25,11321.0,0.0,4738.75,5592.75,429.0,0.0,0.0,18.0,324.25,848.5,2026.5,124.75,0.0,7882.5,229.0,122.0,0.0,857.5,672.5,6177.25
BZN|DE-LU,14.07.2021 01:00 - 14.07.2021 02:00 (CET/CEST),3588.5,11265.5,0.0,4539.5,5553.0,429.0,0.0,0.0,18.0,259.5,1781.5,2014.75,95.75,0.0,7884.0,229.0,122.0,0.0,863.75,796.25,5675.25
BZN|DE-LU,14.07.2021 02:00 - 14.07.2021 03:00 (CET/CEST),3573.75,10918.5,0.0,4339.0,5103.5,429.0,0.0,0.0,18.0,294.75,2155.5,1994.5,74.0,0.0,7887.75,229.0,122.0,0.0,856.0,800.5,5219.25
BZN|DE-LU,14.07.2021 03:00 - 14.07.2021 04:00 (CET/CEST),3598.0,10928.0,0.0,4434.25,5138.5,429.25,0.0,0.0,18.0,316.0,2278.75,1996.25,67.0,0.0,7893.0,229.0,122.0,0.0,858.75,810.25,4948.25
BZN|DE-LU,14.07.2021 04:00 - 14.07.2021 05:00 (CET/CEST),3575.75,11202.0,0.0,4510.25,5469.25,429.0,0.0,0.0,18.25,397.0,1596.25,1985.5,83.75,0.0,7894.75,232.0,122.0,1.0,869.5,930.5,4809.75
BZN|DE-LU,14.07.2021 05:00 - 14.07.2021 06:00 (CET/CEST),3620.25,11284.25,0.0,5032.75,5835.25,429.0,0.0,0.0,18.0,394.0,696.5,1976.25,95.5,0.0,7891.25,235.0,122.0,144.25,839.75,1066.5,5005.5
BZN|DE-LU,14.07.2021 06:00 - 14.07.2021 07:00 (CET/CEST),3742.0,11459.5,0.0,6848.5,6688.5,429.0,0.0,0.0,18.0,628.25,220.25,1965.0,193.0,0.0,7905.25,235.0,122.0,978.75,876.75,1029.0,4929.5
BZN|DE-LU,14.07.2021 07:00 - 14.07.2021 08:00 (CET/CEST),3906.0,11526.0,0.0,7448.0,7215.0,439.25,0.0,0.0,18.0,2309.25,20.5,1963.0,364.5,0.0,7910.5,235.0,122.0,2956.5,882.5,767.75,4651.5
BZN|DE-LU,14.07.2021 08:00 - 14.07.2021 09:00 (CET/CEST),4001.75,11490.0,0.0,7460.75,7421.25,464.25,0.0,0.0,18.0,4243.5,2.75,1974.5,496.0,0.0,7907.0,235.0,122.0,5367.25,870.5,640.5,4209.75
BZN|DE-LU,14.07.2021 09:00 - 14.07.2021 10:00 (CET/CEST),3979.0,11487.5,0.0,7517.5,7266.5,594.5,0.0,0.0,18.0,4956.75,2.0,1972.25,526.25,0.0,7904.75,235.0,122.0,7188.5,844.5,524.75,3994.5
BZN|DE-LU,14.07.2021 10:00 - 14.07.2021 11:00 (CET/CEST),3958.25,11497.75,0.0,7648.0,6699.0,698.75,0.0,0.0,17.5,3564.75,142.5,1976.25,393.75,0.0,7900.25,235.0,122.0,8979.25,872.5,603.25,4205.25
BZN|DE-LU,14.07.2021 11:00 - 14.07.2021 12:00 (CET/CEST),3923.5,11492.25,0.0,7793.5,6787.25,636.5,0.0,0.0,17.0,2446.25,47.0,1983.0,307.0,0.0,7899.0,235.0,122.0,10925.5,893.75,919.75,5080.25
