"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|IT-North","29.07.2021 16:00 - 29.07.2021 17:00 (CET/CEST)","233","n/e","13","10715","0","1","n/e","n/e","n/e","732","","5098","724","n/e","n/e","1731","n/e","2574","24","n/e","5"
"BZN|IT-North","29.07.2021 17:00 - 29.07.2021 18:00 (CET/CEST)","232","n/e","12","10620","0","0","n/e","n/e","n/e","1033","","5610","956","n/e","n/e","1713","n/e","1902","25","n/e","6"
"BZN|IT-North","29.07.2021 18:00 - 29.07.2021 19:00 (CET/CEST)","234","n/e","12","10783","0","0","n/e","n/e","n/e","1184","","6154","945","n/e","n/e","1715","n/e","938","25","n/e","7"
"BZN|IT-North","29.07.2021 19:00 - 29.07.2021 20:00 (CET/CEST)","235","n/e","13","11666","0","0","n/e","n/e","n/e","1144","","6104","1273","n/e","n/e","1765","n/e","255","25","n/e","6"
"BZN|IT-North","29.07.2021 20:00 - 29.07.2021 21:00 (CET/CEST)","231","n/e","12","10462","0","0","n/e","n/e","n/e","1314","","5945","1391","n/e","n/e","1772","n/e","14","25","n/e","4"
"BZN|IT-North","29.07.2021 21:00 - 29.07.2021 22:00 (CET/CEST)","228","n/e","14","11482","0","0","n/e","n/e","n/e","1042","","5732","1181","n/e","n/e","1821","n/e","0","25","n/e","5"
"BZN|IT-North","29.07.2021 22:00 - 29.07.2021 23:00 (CET/CEST)","228","n/e","14","9995","0","0","n/e","n/e","n/e","583","","5059","778","n/e","n/e","1764","n/e","0","26","n/e","7"
"BZN|IT-North","29.07.2021 23:00 - 30.07.2021 00:00 (CET/CEST)","228","n/e","13","8504","0","0","n/e","n/e","n/e","242","","4630","730","n/e","n/e","1675","n/e","0","26","n/e","9"
"BZN|IT-North","30.07.2021 00:00 - 30.07.2021 01:00 (CET/CEST)","238","n/e","13","7223","0","0","n/e","n/e","n/e","","237","4212","802","n/e","n/e","1576","n/e","0","25","n/e","12"
"BZN|IT-North","30.07.2021 01:00 - 30.07.2021 02:00 (CET/CEST)","239","n/e","14","6963","0","0","n/e","n/e","n/e","","216","4040","597","n/e","n/e","1428","n/e","0","24","n/e","9"
"BZN|IT-North","30.07.2021 02:00 - 30.07.2021 03:00 (CET/CEST)","242","n/e","14","6477","0","1","n/e","n/e","n/e","","206","3977","581","n/e","n/e","1391","n/e","0","26","n/e","8"
"BZN|IT-North","30.07.2021 03:00 - 30.07.2021 04:00 (CET/CEST)","241","n/e","13","6167","0","1","n/e","n/e","n/e","135","","3943","506","n/e","n/e","1380","n/e","0","25","n/e","8"
"BZN|IT-North","30.07.2021 04:00 - 30.07.2021 05:00 (CET/CEST)","240","n/e","13","6151","0","2","n/e","n/e","n/e","","25","3940","483","n/e","n/e","1357","n/e","0","25","n/e","10"
"BZN|IT-North","30.07.2021 05:00 - 30.07.2021 06:00 (CET/CEST)","238","n/e","14","6775","0","2","n/e","n/e","n/e","71","","4006","491","n/e","n/e","1370","n/e","0","24","n/e","12"
"BZN|IT-North","30.07.2021 06:00 - 30.07.2021 07:00 (CET/CEST)","241","n/e","13","7956","0","2","n/e","n/e","n/e","507","","4360","748","n/e","n/e","1401","n/e","40","26","n/e","8"
"BZN|IT-North","30.07.2021 07:00 - 30.07.2021 08:00 (CET/CEST)","239","n/e","11","9232","0","2","n/e","n/e","n/e","683","","4895","1164","n/e","n/e","1635","n/e","406","25","n/e","8"
"BZN|IT-North","30.07.2021 08:00 - 30.07.2021 09:00 (CET/CEST)","243","n/e","13","9618","0","12","n/e","n/e","n/e","993","","5686","1072","n/e","n/e","1740","n/e","1064","27","n/e","7"
"BZN|IT-North","30.07.2021 09:00 - 30.07.2021 10:00 (CET/CEST)","241","n/e","14","9695","0","12","n/e","n/e","n/e","1152","","6050","1253","n/e","n/e","1734","n/e","1825","26","n/e","13"
"BZN|IT-North","30.07.2021 10:00 - 30.07.2021 11:00 (CET/CEST)","247","n/e","14","9844","0","12","n/e","n/e","n/e","984","","5972","1246","n/e","n/e","1678","n/e","2391","24","n/e","12"
"BZN|IT-North","30.07.2021 11:00 - 30.07.2021 12:00 (CET/CEST)","248","n/e","13","9759","0","12","n/e","n/e","n/e","994","","5912","1332","n/e","n/e","1655","n/e","2786","25","n/e","10"
"BZN|IT-North","30.07.2021 12:00 - 30.07.2021 13:00 (CET/CEST)","246","n/e","13","9405","0","12","n/e","n/e","n/e","806","","5012","870","n/e","n/e","1620","n/e","3065","25","n/e","7"
"BZN|IT-North","30.07.2021 13:00 - 30.07.2021 14:00 (CET/CEST)","246","n/e","14","9565","0","6","n/e","n/e","n/e","758","","5210","882","n/e","n/e","1710","n/e","3272","25","n/e","8"
"BZN|IT-North","30.07.2021 14:00 - 30.07.2021 15:00 (CET/CEST)","243","n/e","13","9983","0","12","n/e","n/e","n/e","646","","5396","986","n/e","n/e","1730","n/e","3287","25","n/e","11"
"BZN|IT-North","30.07.2021 15:00 - 30.07.2021 16:00 (CET/CEST)","243","n/e","13","10371","0","12","n/e","n/e","n/e","420","","5614","1012","n/e","n/e","1724","n/e","2733","25","n/e","16"
"BZN|IT-North","30.07.2021 16:00 - 30.07.2021 17:00 (CET/CEST)","246","n/e","13","10424","0","12","n/e","n/e","n/e","849","","6003","1263","n/e","n/e","1695","n/e","2606","25","n/e","16"
"BZN|IT-North","30.07.2021 17:00 - 30.07.2021 18:00 (CET/CEST)","244","n/e","13","11401","0","12","n/e","n/e","n/e","780","","6140","1366","n/e","n/e","1667","n/e","1864","25","n/e","20"
"BZN|IT-North","30.07.2021 18:00 - 30.07.2021 19:00 (CET/CEST)","245","n/e","13","12256","0","12","n/e","n/e","n/e","870","","6295","1619","n/e","n/e","1638","n/e","928","24","n/e","20"
"BZN|IT-North","30.07.2021 19:00 - 30.07.2021 20:00 (CET/CEST)","247","n/e","13","12396","0","12","n/e","n/e","n/e","973","","6293","1672","n/e","n/e","1669","n/e","254","25","n/e","24"
"BZN|IT-North","30.07.2021 20:00 - 30.07.2021 21:00 (CET/CEST)","247","n/e","13","12258","0","2","n/e","n/e","n/e","997","","6062","1442","n/e","n/e","1660","n/e","10","24","n/e","28"
"BZN|IT-North","30.07.2021 21:00 - 30.07.2021 22:00 (CET/CEST)","248","n/e","13","12053","0","12","n/e","n/e","n/e","854","","5924","1341","n/e","n/e","1604","n/e","0","23","n/e","29"
"BZN|IT-North","30.07.2021 22:00 - 30.07.2021 23:00 (CET/CEST)","251","n/e","12","11413","0","2","n/e","n/e","n/e","652","","4940","952","n/e","n/e","1477","n/e","0","25","n/e","22"
"BZN|IT-North","30.07.2021 23:00 - 31.07.2021 00:00 (CET/CEST)","250","n/e","10","10039","0","12","n/e","n/e","n/e","537","","4597","981","n/e","n/e","1317","n/e","0","24","n/e","22"
"BZN|IT-North","31.07.2021 00:00 - 31.07.2021 01:00 (CET/CEST)","250","n/e","10","7029","0","12","n/e","n/e","n/e","174","","4441","1165","n/e","n/e","1192","n/e","0","25","n/e","24"
"BZN|IT-North","31.07.2021 01:00 - 31.07.2021 02:00 (CET/CEST)","252","n/e","10","5837","0","2","n/e","n/e","n/e","147","","4134","666","n/e","n/e","1145","n/e","0","27","n/e","24"
